date,value,campus
2024-08-15,99.45,cibolo_valley
2024-08-15,98.66,green_valley
2024-08-15,99.63,paschal
2024-08-15,98.84,rose_garden
2024-08-15,98.75,schertz
2024-08-15,99.49,sippel
2024-08-15,99.33,watts
2024-08-15,98.69,wiederstein
2024-08-15,98.85,jordan
2024-08-15,99.14,schlather
2024-08-15,98.9,wilder
2024-08-15,99.38,dobie
2024-08-15,98.67,corbett
2024-08-15,98.28,clemens
2024-08-15,98.8,b_steele
2024-08-15,96.41,als_elc
2024-08-15,98.83,district_avg
2024-08-19,96.6,cibolo_valley
2024-08-19,96.55,green_valley
2024-08-19,97.2,paschal
2024-08-19,95.73,rose_garden
2024-08-19,96.46,schertz
2024-08-19,96.37,sippel
2024-08-19,96.56,watts
2024-08-19,95.81,wiederstein
2024-08-19,96.82,jordan
2024-08-19,97.5,schlather
2024-08-19,96.08,wilder
2024-08-19,97.01,dobie
2024-08-19,96.06,corbett
2024-08-19,96.22,clemens
2024-08-19,96.64,b_steele
2024-08-19,85.06,als_elc
2024-08-19,95.79,district_avg
2024-08-26,95.38,cibolo_valley
2024-08-26,94.87,green_valley
2024-08-26,94.19,paschal
2024-08-26,94.21,rose_garden
2024-08-26,94.64,schertz
2024-08-26,95.82,sippel
2024-08-26,94.31,watts
2024-08-26,93.86,wiederstein
2024-08-26,94.97,jordan
2024-08-26,95.12,schlather
2024-08-26,94.07,wilder
2024-08-26,94.28,dobie
2024-08-26,93.86,corbett
2024-08-26,94.81,clemens
2024-08-26,95.43,b_steele
2024-08-26,83.54,als_elc
2024-08-26,93.96,district_avg
2024-09-03,94.1,cibolo_valley
2024-09-03,95.21,green_valley
2024-09-03,96.6,paschal
2024-09-03,95.27,rose_garden
2024-09-03,95.7,schertz
2024-09-03,96.32,sippel
2024-09-03,94.84,watts
2024-09-03,94.94,wiederstein
2024-09-03,93.98,jordan
2024-09-03,94.97,schlather
2024-09-03,93.9,wilder
2024-09-03,95.35,dobie
2024-09-03,93.9,corbett
2024-09-03,93.19,clemens
2024-09-03,94.08,b_steele
2024-09-03,79.37,als_elc
2024-09-03,93.86,district_avg
2024-09-09,95.99,cibolo_valley
2024-09-09,95.8,green_valley
2024-09-09,96.64,paschal
2024-09-09,93.92,rose_garden
2024-09-09,94.63,schertz
2024-09-09,95.97,sippel
2024-09-09,94.89,watts
2024-09-09,96.18,wiederstein
2024-09-09,95.45,jordan
2024-09-09,96.57,schlather
2024-09-09,94.23,wilder
2024-09-09,96.06,dobie
2024-09-09,94.35,corbett
2024-09-09,94.24,clemens
2024-09-09,94.87,b_steele
2024-09-09,76.86,als_elc
2024-09-09,94.17,district_avg
2024-09-16,95.84,cibolo_valley
2024-09-16,97.36,green_valley
2024-09-16,97.28,paschal
2024-09-16,94.9,rose_garden
2024-09-16,93.33,schertz
2024-09-16,95.42,sippel
2024-09-16,94.46,watts
2024-09-16,95.61,wiederstein
2024-09-16,95.46,jordan
2024-09-16,96.51,schlather
2024-09-16,94.91,wilder
2024-09-16,95.99,dobie
2024-09-16,95,corbett
2024-09-16,93.89,clemens
2024-09-16,95.26,b_steele
2024-09-16,78,als_elc
2024-09-16,94.33,district_avg
2024-09-23,95.94,cibolo_valley
2024-09-23,96.38,green_valley
2024-09-23,96.16,paschal
