date,value,group,group_display,grade_level_name,grade_level_code,subject,staar_grouping
2024,0.74,state,State,Grade 3,3,Reading,Approaches or Above
2024,0.72,region20,Region20,Grade 3,3,Reading,Approaches or Above
2024,0.7,district,District,Grade 3,3,Reading,Approaches or Above
2024,0.62,african_american,African American,Grade 3,3,Reading,Approaches or Above
2024,0.66,hispanic,Hispanic,Grade 3,3,Reading,Approaches or Above
2024,0.75,white,White,Grade 3,3,Reading,Approaches or Above
2024,NA,american_indian,American Indian,Grade 3,3,Reading,Approaches or Above
2024,0.92,asian,Asian,Grade 3,3,Reading,Approaches or Above
2024,NA,pacific_islander,Pacific Islander,Grade 3,3,Reading,Approaches or Above
2024,0.76,two_or_more_races,Two or More Races,Grade 3,3,Reading,Approaches or Above
2024,0.4,special_ed_current,Special Ed Current,Grade 3,3,Reading,Approaches or Above
2024,0.73,special_ed_former,Special Ed Former,Grade 3,3,Reading,Approaches or Above
2024,0.7,continuously_enrolled,Continuously Enrolled,Grade 3,3,Reading,Approaches or Above
2024,0.69,non_continuously_enrolled,Non Continuously Enrolled,Grade 3,3,Reading,Approaches or Above
2024,0.63,econ_disadv,Econ Disadv,Grade 3,3,Reading,Approaches or Above
2024,0.53,eb_el_current_and_monitored,EB EL Current and Monitored,Grade 3,3,Reading,Approaches or Above
2023,0.76,state,State,Grade 3,3,Reading,Approaches or Above
2023,0.74,region20,Region20,Grade 3,3,Reading,Approaches or Above
2023,0.75,district,District,Grade 3,3,Reading,Approaches or Above
2023,0.74,african_american,African American,Grade 3,3,Reading,Approaches or Above
2023,0.74,hispanic,Hispanic,Grade 3,3,Reading,Approaches or Above
2023,0.75,white,White,Grade 3,3,Reading,Approaches or Above
2023,NA,american_indian,American Indian,Grade 3,3,Reading,Approaches or Above
2023,0.88,asian,Asian,Grade 3,3,Reading,Approaches or Above
2023,0.83,pacific_islander,Pacific Islander,Grade 3,3,Reading,Approaches or Above
2023,0.8,two_or_more_races,Two or More Races,Grade 3,3,Reading,Approaches or Above
2023,0.47,special_ed_current,Special Ed Current,Grade 3,3,Reading,Approaches or Above
2023,0.85,special_ed_former,Special Ed Former,Grade 3,3,Reading,Approaches or Above
